# SPEC_060 CBP coverage audit,2026-05-17T02:31:31.919901+00:00
# verdict,NO
# verdict: NO
# NAICS-4 × MSA is NOT feasible. Fall back to NAICS × state for the structural-density section (SPEC_061 §3); intake (SPEC_064) becomes NAICS × state with optional county/MSA narrowing for other sections.
"# census_business_patterns NAICS digit coverage: 2d=661, 3d=3236, 4d=10059, 5d=21005, 6d=28408"
"# census_cbp grain breakdown: county/6d: n=7160, counties=2792, states=55"
"# MSA coverage in census_cbp county rows: 359/393 MSAs ≥90% covered, 386/393 ≥50%"

section,naics_code,table,states_covered,counties_covered,years_covered,sum_establishments
naics_detail,3342,census_business_patterns,37,n/a (state grain),1,974
naics_detail,3343,census_business_patterns,28,n/a (state grain),1,451
naics_detail,3344,census_business_patterns,41,n/a (state grain),1,3027
naics_detail,3345,census_business_patterns,43,n/a (state grain),1,4019
naics_detail,3346,census_business_patterns,23,n/a (state grain),1,254
naics_detail,3351,census_business_patterns,38,n/a (state grain),1,846
naics_detail,3352,census_business_patterns,26,n/a (state grain),1,273
naics_detail,3353,census_business_patterns,38,n/a (state grain),1,1419
naics_detail,3359,census_business_patterns,40,n/a (state grain),1,1772
naics_detail,3361,census_business_patterns,27,n/a (state grain),1,298
naics_detail,3362,census_business_patterns,38,n/a (state grain),1,1733
naics_detail,3363,census_business_patterns,42,n/a (state grain),1,4006
naics_detail,3364,census_business_patterns,41,n/a (state grain),1,1518
naics_detail,3365,census_business_patterns,25,n/a (state grain),1,150
naics_detail,3366,census_business_patterns,35,n/a (state grain),1,1109
naics_detail,3369,census_business_patterns,36,n/a (state grain),1,802
naics_detail,3371,census_business_patterns,44,n/a (state grain),1,8410
naics_detail,3372,census_business_patterns,42,n/a (state grain),1,3052
naics_detail,3379,census_business_patterns,30,n/a (state grain),1,587
naics_detail,3391,census_business_patterns,44,n/a (state grain),1,7481
naics_detail,3399,census_business_patterns,43,n/a (state grain),1,12002
naics_detail,4231,census_business_patterns,43,n/a (state grain),1,18195
naics_detail,4232,census_business_patterns,43,n/a (state grain),1,9966
naics_detail,4233,census_business_patterns,43,n/a (state grain),1,13884
naics_detail,4234,census_business_patterns,43,n/a (state grain),1,27355
naics_detail,4235,census_business_patterns,43,n/a (state grain),1,6838
naics_detail,4236,census_business_patterns,43,n/a (state grain),1,21389
naics_detail,4237,census_business_patterns,43,n/a (state grain),1,15864
naics_detail,4238,census_business_patterns,43,n/a (state grain),1,42312
naics_detail,4239,census_business_patterns,43,n/a (state grain),1,26425
naics_detail,4241,census_business_patterns,43,n/a (state grain),1,6531
naics_detail,4242,census_business_patterns,43,n/a (state grain),1,8391
naics_detail,4243,census_business_patterns,43,n/a (state grain),1,12219
naics_detail,4244,census_business_patterns,43,n/a (state grain),1,28701
naics_detail,4245,census_business_patterns,41,n/a (state grain),1,5473
naics_detail,4246,census_business_patterns,43,n/a (state grain),1,9093
naics_detail,4247,census_business_patterns,41,n/a (state grain),1,4744
naics_detail,4248,census_business_patterns,42,n/a (state grain),1,3841
naics_detail,4249,census_business_patterns,42,n/a (state grain),1,23364
naics_detail,4251,census_business_patterns,42,n/a (state grain),1,28754
naics_detail,4411,census_business_patterns,42,n/a (state grain),1,35886
naics_detail,4412,census_business_patterns,41,n/a (state grain),1,10909
naics_detail,4413,census_business_patterns,42,n/a (state grain),1,45697
naics_detail,4421,census_business_patterns,41,n/a (state grain),1,16689
naics_detail,4422,census_business_patterns,41,n/a (state grain),1,17796
naics_detail,4431,census_business_patterns,41,n/a (state grain),1,16155
naics_detail,4441,census_business_patterns,41,n/a (state grain),1,42329
naics_detail,4442,census_business_patterns,40,n/a (state grain),1,13213
naics_detail,4451,census_business_patterns,40,n/a (state grain),1,76636
naics_detail,4452,census_business_patterns,39,n/a (state grain),1,18346
naics_detail,4453,census_business_patterns,39,n/a (state grain),1,29008
naics_detail,4461,census_business_patterns,39,n/a (state grain),1,69019
naics_detail,4471,census_business_patterns,38,n/a (state grain),1,74570
naics_detail,4481,census_business_patterns,38,n/a (state grain),1,60313
naics_detail,4482,census_business_patterns,36,n/a (state grain),1,11251
naics_detail,4483,census_business_patterns,37,n/a (state grain),1,13117
naics_detail,4511,census_business_patterns,36,n/a (state grain),1,22231
naics_detail,4512,census_business_patterns,36,n/a (state grain),1,3712
naics_detail,4522,census_business_patterns,34,n/a (state grain),1,1805
naics_detail,4523,census_business_patterns,36,n/a (state grain),1,32843
naics_detail,4531,census_business_patterns,36,n/a (state grain),1,7283
naics_detail,4532,census_business_patterns,36,n/a (state grain),1,14488
naics_detail,4533,census_business_patterns,36,n/a (state grain),1,11528
naics_detail,4539,census_business_patterns,36,n/a (state grain),1,35587
naics_detail,4541,census_business_patterns,36,n/a (state grain),1,35151
naics_detail,4542,census_business_patterns,36,n/a (state grain),1,1956
naics_detail,4543,census_business_patterns,36,n/a (state grain),1,19717
naics_detail,4811,census_business_patterns,36,n/a (state grain),1,1434
naics_detail,4812,census_business_patterns,35,n/a (state grain),1,1678
naics_detail,4831,census_business_patterns,21,n/a (state grain),1,762
naics_detail,4832,census_business_patterns,20,n/a (state grain),1,488
naics_detail,4841,census_business_patterns,36,n/a (state grain),1,79150
naics_detail,4842,census_business_patterns,36,n/a (state grain),1,34996
naics_detail,4851,census_business_patterns,27,n/a (state grain),1,427
naics_detail,4852,census_business_patterns,31,n/a (state grain),1,312
naics_detail,4853,census_business_patterns,35,n/a (state grain),1,3863
naics_detail,4854,census_business_patterns,35,n/a (state grain),1,2404
naics_detail,4855,census_business_patterns,31,n/a (state grain),1,698
naics_detail,4859,census_business_patterns,35,n/a (state grain),1,3696
naics_detail,4861,census_business_patterns,20,n/a (state grain),1,311
naics_detail,4862,census_business_patterns,31,n/a (state grain),1,998
naics_detail,4869,census_business_patterns,29,n/a (state grain),1,383
naics_detail,4871,census_business_patterns,29,n/a (state grain),1,471
naics_detail,4872,census_business_patterns,29,n/a (state grain),1,1712
naics_detail,4879,census_business_patterns,15,n/a (state grain),1,182
naics_detail,4881,census_business_patterns,35,n/a (state grain),1,4185
naics_detail,4882,census_business_patterns,30,n/a (state grain),1,992
naics_detail,4883,census_business_patterns,28,n/a (state grain),1,1794
naics_detail,4884,census_business_patterns,35,n/a (state grain),1,9085
naics_detail,4885,census_business_patterns,35,n/a (state grain),1,13823
naics_detail,4889,census_business_patterns,32,n/a (state grain),1,1546
naics_detail,4921,census_business_patterns,35,n/a (state grain),1,7215
naics_detail,4922,census_business_patterns,35,n/a (state grain),1,3252
naics_detail,4931,census_business_patterns,35,n/a (state grain),1,12237
naics_detail,5111,census_business_patterns,35,n/a (state grain),1,8945
naics_detail,5112,census_business_patterns,35,n/a (state grain),1,10968
naics_detail,5121,census_business_patterns,35,n/a (state grain),1,17809
naics_detail,5122,census_business_patterns,33,n/a (state grain),1,2847
naics_detail,5151,census_business_patterns,35,n/a (state grain),1,4320
naics_detail,5152,census_business_patterns,18,n/a (state grain),1,482
naics_detail,5173,census_business_patterns,35,n/a (state grain),1,32591
naics_detail,5174,census_business_patterns,20,n/a (state grain),1,277
naics_detail,5179,census_business_patterns,35,n/a (state grain),1,3265
naics_detail,5182,census_business_patterns,35,n/a (state grain),1,10904
naics_detail,5191,census_business_patterns,35,n/a (state grain),1,7760
naics_detail,5211,census_business_patterns,4,n/a (state grain),1,17
naics_detail,5221,census_business_patterns,35,n/a (state grain),1,65910
naics_detail,5222,census_business_patterns,35,n/a (state grain),1,27208
naics_detail,5223,census_business_patterns,35,n/a (state grain),1,18464
naics_detail,5231,census_business_patterns,35,n/a (state grain),1,17710
naics_detail,5232,census_business_patterns,2,n/a (state grain),1,11
naics_detail,5239,census_business_patterns,35,n/a (state grain),1,51400
naics_detail,5241,census_business_patterns,35,n/a (state grain),1,19717
naics_detail,5242,census_business_patterns,35,n/a (state grain),1,93440
naics_detail,5259,census_business_patterns,31,n/a (state grain),1,1246
naics_detail,5311,census_business_patterns,34,n/a (state grain),1,74531
naics_detail,5312,census_business_patterns,34,n/a (state grain),1,106485
naics_detail,5313,census_business_patterns,33,n/a (state grain),1,65525
naics_detail,5321,census_business_patterns,33,n/a (state grain),1,9502
naics_detail,5322,census_business_patterns,33,n/a (state grain),1,9156
naics_detail,5323,census_business_patterns,33,n/a (state grain),1,1643
naics_detail,5324,census_business_patterns,33,n/a (state grain),1,9337
naics_detail,5331,census_business_patterns,32,n/a (state grain),1,1507
naics_detail,5411,census_business_patterns,33,n/a (state grain),1,110133
naics_detail,5412,census_business_patterns,33,n/a (state grain),1,81554
naics_detail,5413,census_business_patterns,33,n/a (state grain),1,69654
naics_detail,5414,census_business_patterns,33,n/a (state grain),1,22667
naics_detail,5415,census_business_patterns,32,n/a (state grain),1,82054
naics_detail,5416,census_business_patterns,32,n/a (state grain),1,131367
naics_detail,5417,census_business_patterns,32,n/a (state grain),1,14231
naics_detail,5418,census_business_patterns,32,n/a (state grain),1,22881
